Title,Artist,Year,Additional information
"""A' Soalin'""","Peter, Paul and Mary",1963,"From the album Moving. Written by Paul Stookey, Tracy Batteste & Elaina Mezzetti. Contains an element of ""God Rest Ye Merry, Gentlemen"".[1]"
"""Adeste Fideles(O Come, All Ye Faithful)""",Associated Glee Clubs of America,1925,"Peaked at No. 5 on the Billboard pop singles chart in 1925. This historic record was the first electrically recorded disc to create a popular impact, and featured the largest choir popular music has ever known: some 4,800 voices (according to Columbia Records).[2] Over 150 versions of this standard have appeared in Christmas LPs since 1946."
"""Adeste Fideles(O Come, All Ye Faithful)""",Bing Crosby,1942,"Peaked at No. 45 on the Billboard Hot 100 singles chart on the week ending December 26, 1960.[3][4]"
"""All Alone on Christmas""",Darlene Love,1992,Peaked at No. 83 on the Billboard Hot 100 singles chart in 1993. From the 1992 film Home Alone 2: Lost in New York.[5][6]
"""All I Really Want for Christmas""",Steven Curtis Chapman,2005,Peaked at No. 2 on the Billboard Christian Songs chart in 2006.[7] From the album All I Really Want for Christmas.
"""All I Want for Christmas Is a Real Good Tan""",Kenny Chesney,2003,Peaked at No. 30 on Billboard's Hot Country Singles & Tracks chart.[8][9] From the album All I Want for Christmas Is a Real Good Tan.
"""All I Want for Christmas Is My Two Front Teeth""",Spike Jones and his City Slickers,1948,Spent three weeks at No. 1 on Billboard's Records Most Played by Disk Jockeys chart in 1948 and 1949. Also peaked at No. 14 on Billboard's Children's Records chart and No. 18 on Billboard's Best-Selling Pop Singles chart in 1950.[10][11] Written by Donald Yetter Gardner.
"""All I Want for Christmas Is You"" (1)",Carla Thomas,1963,"Originally released as the B-side of Thomas's 1963 holiday hit, ""Gee Whiz, It's Christmas"". A new version recorded by Thomas peaked at No. 11 on Billboard's Christmas Singles chart in 1966.[12]"
"""All I Want for Christmas Is You"" (2)",Vince Vance & The Valiants,1989,"First released as a single in 1989, but didn't become a country radio chart hit until 1993. Re-charted in 1994–1997. Peaked at No. 31 on Billboard's Hot Country Singles & Tracks chart in 1999.[13][14] Melody is the same as Bobby Vinton's 1964 top 10 pop hit, ""My Heart Belongs to Only You""."
"""All I Want for Christmas Is You"" (3)",Mariah Carey,1994,"Peaked at No. 12 on Billboard's Radio Songs chart and No. 6 on Billboard's Adult Contemporary chart on the first week of January 1995,[15] and three weeks at No. 1 on the Billboard Hot 100 chart in December 2019 into early January 2020.[16] Written by Walter Afanasieff and Mariah Carey."
"""All I Want for Christmas Is You"" (3)",Lady Antebellum,2010,"Peaked at No. 38 on the Billboard Hot Country Songs chart on the week ending January 8, 2011.[17] Also peaked at No. 24 on the Billboard Hot Christian Songs chart (week ending January 8, 2011)[18] and at No. 14 on the Billboard Holiday Digital Song Sales chart (week ending November 10, 2012).[19]"
"""All I Want for Christmas Is You"" (3)",Newsboys,2010,"Peaked at No. 24 on the Billboard Hot Christian Songs chart on the week ending January 8, 2011.[20]"
"""All I Want for Christmas Is You"" (3)",Justin Bieber with Mariah Carey,2011,"Subtitled ""SuperFestive!"" Peaked at No. 3 on the Billboard Adult Contemporary chart on the week ending December 31, 2011.[21] Also peaked at No. 86 on the main Billboard Hot 100 chart (week ending November 19, 2011),[22] at No. 20 on the Billboard Holiday 100 chart (week ending December 17, 2011),[23] at No. 51 on the Billboard Digital Song Sales chart (week ending November 19, 2011),[24] at No. 1 on the Billboard Holiday Digital Song Sales chart (week ending November 19, 2011),[25] and at No. 20 on the Billboard Holiday Streaming Songs chart (week ending December 14, 2013).[26]"
"""All I Want for Christmas Is You"" (3)",Michael Bublé,2011,"Peaked at No. 1 for five straight weeks on the Billboard Adult Contemporary chart, from the week ending December 10, 2011, to the week ending January 7, 2012.[27] Also peaked at No. 99 on the main Billboard Hot 100 chart (week ending December 31, 2011),[28][29] at No. 3 on the Billboard Holiday Digital Song Sales chart (week ending November 12, 2011),[30] at No. 13 on the Billboard Holiday 100 chart (week ending December 29, 2012),[31] at No. 21 on the Billboard Holiday Streaming Songs chart (week ending December 21, 2013),[32] and at No. 35 on the Billboard Holiday Airplay chart (week ending December 31, 2011).[33]"
